Companies,Description,URL,Company Status,Founded Year,Competitors,Mosaic (Overall),Total Funding,All Investors,Country,State,City,Sector,Applications,Sub-Industry
buildspace,"Buildspace is an educational institution focused on the personal development and entrepreneurship sectors. The company offers a six-week online program where individuals can work on their own ideas, ranging from art and music to coding and AI, and bring them to life. The primary customers of Buildspace are individuals passionate about their ideas and looking to develop them further. It is based in New York, New York.",buildspace.so,Alive / Active,,"Holder, Royaltiz, bem.builders, Primerlabs, Startup Teens, Innospot, Kroma, MentorCruise",585.0,10.00,"10xImpact, Alchemy Ventures, Andreessen Horowitz, Dreamers VC, Flucas Ventures, Founders, JUMP Investors, OpenSea Ventures, OrangeDAO, Protocol Labs, Solana Ventures, Vaynerfund, Weekend Fund, Y Combinator",United States,New York,New York,Internet,Internet Software & Services,Application & Data Integration
Chaos Labs,"Chaos Labs provides a cloud platform for securing blockchains and protocols through agent and scenario-based simulations. The platform offers risk management, and incentive optimization, along with a range of testing environments. The company was founded in 2021 and is based in New York York, New York.",chaoslabs.xyz,Alive / Active,2021,"Ledger Works, Airstack, Chainrisk, Defined, Gauntlet, CasperLabs",749.0,20.00,"Quiet Capital, Samsung NEXT, Chainlink, Lyrik Ventures, Balaji Srinivasan, Bessemer Investors, Coinbase Ventures, HashKey Capital, LightSpeed Accelerator, Naval Ravikant, PayPal Ventures, Uniswap, Wintermute Ventures",United States,New York,New York,Internet,Internet Software & Services,Monitoring & Security
Ulvetanna,"Ulvetanna is a company focused on accelerating the zero-knowledge revolution, operating within the blockchain and cryptography sectors. The company provides fast and cost-effective computation of zero-knowledge succinct proofs, operating FPGA clusters specifically designed for large-scale ZKP computation, supporting both Layer-1 and Layer-2 blockchain protocols. Ulvetanna primarily serves the blockchain industry. It was founded in 2022 and is based in San Francisco, California.",ulvetanna.io,Alive / Active,2022,"Succinct, Sindri, Arm, IronMill, Zorp, HPB",587.0,15.00,"Bain Capital Crypto, Jump Crypto, Paradigm",United States,California,San Francisco,Internet,Internet Software & Services,Data & Document Management
Helius,"Helius provides a solana infrastructure platfrom. It offers services for remote procedure calls (RPCs), webhooks, enhanced solana application programming interfaces, and geyser streaming. The company was founded in 2022 and is based in Claymont, Delaware.",helius.dev,Alive / Active,2022,Vybe Network,727.0,12.60,"Alchemy Ventures, Big Brain Holdings, Chapter One, Propel Venture Partners, Reciprocal Ventures, Solana Ventures, Stepan Simkin, Unpopular Ventures, Zhuoxun Yin, 6th Man Ventures, Anatoly Yakovenko, Balaji Srinivasan, Foundation Capital, Kyle Samani, Propel ICT, Raj Gokal",United States,Delaware,Claymont,Internet,Internet Software & Services,Application & Data Integration
Blockjoy,"BlockJoy specializes in providing blockchain infrastructure solutions within the Web3 domain. The company offers services that enable the deployment and management of blockchain nodes, aiming to reduce operational costs and optimize performance for various stakeholders in the blockchain ecosystem. BlockJoy's platform is designed to cater to the needs of staking-as-a-service companies, API-as-a-service providers, and blockchain developers, among others. It was founded in 2021 and is based in Boston, Massachusetts.",blockjoy.com,Alive / Active,2021,"Nirvana Labs, Zeeve, QuickNode, Scale3 Labs, InfStones, NodeReal, Edgevana",519.0,11.00,"Schox Venture Capital, Active Capital, Borderless Capital, Dragon Roark, Draper Dragon, Gradient Ventures, Renegade Ventures",United States,Massachusetts,Boston,Computer Hardware & Services,IT Services,IT Solutions & Software Development
Eigen Labs,"Eigen Labs operates as an engineering and research organization focused on developing protocols that enhance open innovation within the Ethereum ecosystem. The company's main offerings include smart contract development and contributions to Ethereum protocols, aimed at improving cryptoeconomic security and supporting decentralized applications. EigenLayer, one of projects, allows Ethereum stakers to participate in validating new software modules, thereby aggregating security and fostering innovation. It was founded in 2021 and is based in Redmond, Washington.",eigenlabs.org,Alive / Active,2021,"Validation Cloud, Kiln, Fuel Labs, Milkomeda, Consensys, Tezos, Chorus One",674.0,156.73,"Ethereal Ventures, Polychain Capital, Anagram, Bloccelerate, Blockchain Capital, Coinbase Ventures, Electric Capital, Figment Capital, Finality Capital Partners, Hack VC, IOSG, Lemniscap, Robot Ventures, dao5, A16z Crypto",United States,Washington,Redmond,Internet,Internet Software & Services,Science & Engineering
Space and Time,"Space and Time provides a decentralized data warehouse for blockchain applications. It develops a cryptographic protocol for structured query language programming to manage and interact with databases. It allows blockchain applications to generate analytical insights in a decentralized way. The company was founded in 2022 and is based in San Clemente, California.",spaceandtime.io,Alive / Active,2022,"Mind Network, Elementus, MakerDojo, Unmarshal, KYVE, Tellor",744.0,50.25,"Alliance Venture, Digital Currency Group, Framework Ventures, IOSG, Samsung NEXT, Stratos Ventures, Avalanche, CoinDCX Ventures, Foresight Ventures, HashKey Capital, M12, Polygon, SevenX Ventures, Alliance",United States,California,San Clemente,Internet,Internet Software & Services,Data Storage
Fedi,"Fedi is a technology company focused on empowering communities with freedom technologies in the digital payments and data security sectors. The company offers a Federated Operating System that integrates digital payments, data backup, and encrypted communication, leveraging Bitcoin and the Lightning Network to enhance privacy and autonomy for users and organizations. Fedi primarily serves communities and organizations looking to secure and manage their financial transactions and data. It was founded in 2022 and is based in Austin, Texas.",fedi.xyz,Alive / Active,2022,".bit, CharmVerse, Lightning Labs, Coinshift, Gitcoin, Freedom Social Technology",666.0,21.20,"Concentric, Ego Death Capital, Kingsway Capital Partners, Ten31, Block Capital, Trammell Venture Partners",United States,Texas,Austin,Internet,Internet Software & Services,Data & Document Management
Allium,"Allium focuses on providing on-chain data infrastructure and services within the blockchain technology domain. The company's main offerings include a platform for real-time blockchain data applications and an interface for blockchain data exploration and analysis. It primarily serves sectors that require blockchain data analytics and engineering solutions, such as financial services, non fungible token marketplaces, and decentralized exchanges. The company was founded in 2022 and is based in New York, New York.",allium.so,Alive / Active,2022,Chainalysis,754.0,20.80,"Amplify Partners, Kleiner Perkins, The Nailwal Fellowship, Theory Ventures",United States,New York,New York,Internet,Internet Software & Services,Data & Document Management
Zbyte,"Zbyte is a company focused on the development of decentralized platforms in the blockchain industry. The company offers a platform that simplifies the creation of decentralized applications (dApps), providing tools such as a low-code/no-code interface, wallet creation and management, and multi-chain support. Zbyte primarily serves the blockchain and Web3 industries. It was founded in 2021 and is based in San Francisco, California.",zbyte.io,Alive / Active,2021,"SIMBA Chain, Thirdweb, Moralis, Alchemy, Sui, Moralis Academy",569.0,15.00,"Cartography Capital, Quarterback Financial",United States,California,San Francisco,Internet,Internet Software & Services,Content Management
Satellite IM,"Satellite IM provides a fully decentralized, peer-to-peer voice, video, and text communication platform. It enables simple sovereign storage and peer-to-peer communication, leveraging the interplanetary filesystem (IPFS) and dag-jose. Its initial core desktop application supports 4K video chat and streaming, lossless audio, as well as 4GB sharing capabilities at no cost to the user. The company was founded in 2021 and is based in Boston, Massachusetts.",satellite.im,Alive / Active,2021,"Kepler Communications, SpaceBelt, WhatsApp, Quagga, Higher Ground, OptiStreams",410.0,10.50,"Framework Ventures, Hashed, IDEO CoLab, Multicoin Capital, Pioneer Square Labs Ventures, Solana Ventures",United States,Massachusetts,Boston,Internet,Internet Software & Services,Conferencing & Communication
Try Your Best,"Try Your Best uses blockchain technology to help brands build customer loyalty without buying advertisements on third-party social media platforms. It allows brands to build their own on-chain communities of loyal customers. TYB was founded in 2020 and is based in Tucson, Arizona.",tyb.xyz,Alive / Active,2020,"Campaign, Forum3, Consensys, Grape Protocol, Blockchain Worx, MultiChain, Hyperledger, Huddln, Steem, Protokol",477.0,12.02,"Castle Island Ventures, SoGal Ventures, Unusual Ventures, White Iron Ventures, Great Wave Ventures, New York Fashion Tech Lab",United States,Arizona,Tucson,Internet,Internet Software & Services,Customer Relationship Management
Cyber,"Cyber is a company focused on providing Ethereum Layer 2 solutions for the development of web3 social applications. Its main offerings include a scalable infrastructure with high transaction throughput and low costs, account abstraction for seamless user experiences, and a decentralized network for enhanced security. Cyber also provides staking and governance mechanisms for users to participate in the ecosystem's growth and revenue sharing. Cyber was formerly known as CyberConnect. It was founded in 2021 and is based in Palo Alto, California.",cyber.co,Alive / Active,2021,,755.0,15.00,"Animoca Brands, Delphi Ventures, Dimension, Draper Dragon, Hashed, IOSG, Multicoin Capital, Sky9 Capital, Smrti Lab, UpHonest Capital, Zoo Capital, Amber Group, Delphi Digital, GGV Capital, PKO Investments, Polygon Studios, Protocol Labs, SevenX Ventures, Spartan Group, Tribe Capital, Binance Labs",United States,California,Palo Alto,Internet,Internet Software & Services,Application & Data Integration
Boba,"Boba Network is a multichain layer 2 optimistic rollup focused on blockchain scaling and interoperability. The company offers a hybrid blockchain platform that integrates off-chain data and compute to enable the development of smarter applications. Boba Network primarily serves the blockchain and decentralized application development sectors. It was founded in 2021 and is based in San Francisco, California.",boba.network,Alive / Active,2021,StarkWare,709.0,45.00,"GTA Ventures, 10X Capital, Alphanonce, Crypto.com Capital, DeFi Technologies, Dreamers VC, GBV Capital, Ghaf Capital, Hack VC, Hypersphere Ventures, IOST, Infinite Capital, Joe Montana, Kinetic Capital Partners, LD Capital, M13, Niles Hollowell-Dhar, Old Fashion Research, Rok Capital, Sanctor Capital, Sanctor Turbo, Shima Capital, Tony Robbins",United States,California,San Francisco,Internet,Internet Software & Services,Application & Data Integration
Cosmic Wire,"Cosmic Wire is a platform-agnostic Web3 company that offers brands, celebrities, artists, and IP collectors the ability to enhance, promote, license, and sell their work. It aims to empower users with sovereign control over their data and online interactions. Its proprietary technology and decentralized applications serves as an operating system for the Web3 ecosystem. The company was founded in 2021 and is based in Miami Beach, Florida.",cosmicwire.com,Alive / Active,2021,"V-Art, MINTangible, SING, Verisart, Permission.io",613.0,30.00,"Polygon, Solana Foundation",United States,Florida,Miami Beach,Internet,Internet Software & Services,Application & Data Integration
Quadrata,"Quadrata specializes in providing digital identity solutions within the Web3 sector. The company offers a portable digital passport that facilitates access to Web3 applications while preserving user privacy through identity verification and compliance services. Quadrata's services are primarily utilized by businesses operating in the Web3 and cryptocurrency industries seeking to implement Know Your Customer (KYC) and Anti-Money Laundering (AML) compliance. It was founded in 2021 and is based in Marina del Rey, California.",quadrata.com,Alive / Active,2021,"Fractal ID, Move Labs, Sealance, Scale3 Labs, Arbitrary Execution, Nuggets, Lossless, Civic Technologies, Blockchain HELIX, Scanovate, Synaps, Burrata",522.0,15.00,"Abra, August Capital, Balaji Srinivasan, Dragonfly, Fellows Fund, Franklin Templeton, GSR Ventures, GreatPoint Ventures, Mathieu Nouzareth, Orange DAO, Ryan Selkis, Wilson Lee, Mastercard Start Path Crypto",United States,California,Marina del Rey,Internet,Internet Software & Services,Monitoring & Security
Aptos Labs,"Aptos Labs operates a company focused on the development of products and applications on blockchains. It offers network tooling and applications designed to enhance the user experience in the web3 domain and promote the benefits of decentralization. The company primarily serves the blockchain and web3 industries. The company was founded in 2021 and is based in Palo Alto, California.",aptoslabs.com,Alive / Active,2021,"Linera, QuickNode, Notifi, Questbook, BwareLabs, Alchemy, SKALE Labs",862.0,400.00,"Andreessen Horowitz, Binance Labs, BlockTower, Coinbase Ventures, Dragonfly, FTX Ventures, Hashed, Irongrey, Katie Haun, Multicoin Capital, ParaFi Capital, Paxos, PayPal Ventures, Silvergate Bank, Three Arrows Capital, Tiger Global Management, Variant Fund, Circle Ventures, Franklin Templeton, Griffin Gaming Partners, Jump Crypto, Superscrypt",United States,California,Palo Alto,Internet,Internet Software & Services,Application & Data Integration
Mirror World,"Mirror World specializes in providing application development platform for blockchain applications. The company offers tools that enable developers to deploy, manage, and monetize their blockchain applications with a focus on mobile compatibility and cross-platform functionality. Mirror World primarily serves developers and teams in the gaming and decentralized application sectors. It was founded in 2021 and is based in Greenbrae, California.",mirrorworld.fun,Alive / Active,2021,"Parasol, Hyperlane, Moralis, NFT Studios, Decentology, Abridged, Stratis Group, Curvegrid, OPEN Platform, Moralis Academy",650.0,16.00,"Alchemy, Alameda Research Ventures, Avocado DAO, Bas1s Ventures, Galaxy Interactive, Infinity Ventures Crypto, LD Capital, Lucid Blue Ventures, MetaSense DAO, Mirana Ventures, Nihil Ventures, OKX Ventures, Republic, Sky9 Capital, Tess Ventures, Virtuals Protocol, W3 Guild Games, MH Ventures, BITKRAFT, Big Brain Holdings, Galaxy Interactive",United States,California,Greenbrae,Internet,Internet Software & Services,Application & Data Integration
Espresso Systems,"Espresso Systems operates as a company focused on blockchain infrastructure. It offers a decentralized sequencer and data availability system, known as the Espresso Sequencer, which is designed to enhance the scalability, interoperability, and neutrality of rollups, a type of layer-2 scaling solution for blockchains. The company primarily serves the blockchain and cryptocurrency industries. It was founded in 2020 and is based in Menlo Park, California.",espressosys.com,Alive / Active,2020,"Caldera, Covalent, AltLayer, Boba, SKALE Labs",748.0,59.90,"Balaji Srinivasan, Meltem Demirors, Paxos, Robot Ventures, Terra, Polychain Capital, Alameda Research, Blockchain Capital, Coinbase Ventures, Electric Capital, Gemini, Greylock Partners, Sequoia Capital, Slow Ventures, A16z Crypto, Alluvial, AltLayer, Anoma, Automata Network, Aztec, Caldera, Catalyst, Composable, Eclipse, Eigen Labs, Fhenix, Fluent, Frax Finance, Gelato Network, Gevulot, Hourglass, Injective, Karnot, Lumoz, O(1) Labs, Obol, Odos, Offchain Labs, Omni, Polygon Labs, Rarible, Side Protocol, Socket, Spire, Stackr Labs, StarkWare, Synonym, Taiko",United States,California,Menlo Park,Computer Hardware & Services,IT Services,IT Solutions & Software Development
WalletConnect,"WalletConnect focuses on web three communications protocols within the blockchain and cryptocurrency industry. It offers wallets and applications to securely connect and interact, facilitating interoperability across blockchains. It primarily serves the decentralized applications (dapps) and mobile wallet sectors. The company was founded in 2021 and is based in Newark, Delaware.",walletconnect.com,Alive / Active,2021,,827.0,24.75,"1kx, Ajit Tripathi, Alex Svanevik, Anna Rose, Arjun Bhuptani, Coinbase Ventures, Eric Conner, Mara Schmiedt, Semantic Ventures, Union Square Ventures, Viktor Bunin, Zerion, Circle Ventures, ConsenSys Mesh, Foresight Ventures, HashKey Capital, Polygon Ventures, Shopify Ventures, Uniswap Labs Ventures",United States,Delaware,Newark,Mobile & Telecommunications,Mobile Software & Services,Application & Data Integration
Notifi,"Notifi builds cross-chain communication infrastructure and tooling for Web3 projects. The company offers a platform for user communication management, providing both on-chain and off-chain messaging capabilities. Notifi primarily serves sectors such as decentralized finance (defi), decentralized autonomous organizations (DAOs), game finance (gamefi), and other Web3 decentralized applications (dApps). It was founded in 2022 and is based in Seattle, Washington.",notifi.network,Alive / Active,2022,"QuickNode, Stringee, Cubist, Scale3 Labs, OnFinality",621.0,12.50,"Anand Iyer, Dan Matuszewski, Hashed, Race Capital, Alumni Ventures, HRT Capital, Struck Capital, Superscrypt, Wintermute Ventures",United States,Washington,Seattle,Internet,Internet Software & Services,Conferencing & Communication
Thirdweb,"Thirdweb is a full-stack, open-source web3 development platform that operates within the blockchain technology sector. The company provides a suite of tools for creating, deploying, and managing smart contracts, as well as connecting applications to decentralized networks. Thirdweb's offerings cater to various sectors, including the gaming industry and blockchain networks, by providing solutions for integrating web3 into games and offering all-in-one development tools for chains. It was founded in 2020 and is based in San Francisco, California.",thirdweb.com,Alive / Active,2020,"TouchBrick, Zbyte, Viveel, WalletKit, Sonica, Horizon, Nevermined, Curios, NFTPort, Niftory, Starton, nft42, The NFT Brewery",723.0,29.00,"Christian Angermayer, Gary Vaynerchuk, Greg Isenberg, Imran Khan, Mark Cuban, Packy McCormick, Qiao Wang, Ryan Hoover, Shaan Puri, Soona Amhaz, Coinbase Ventures, Haun Ventures, Joseph Lacob, Polygon, Protocol Labs, Shopify Ventures, Shrug Capital",United States,California,San Francisco,Internet,Internet Software & Services,Application & Data Integration
Spectral,"Spectral focuses on the development of Web3 technologies within the blockchain sector. The company offers a platform that translates natural language into solidity code, facilitating the creation of smart contracts and other blockchain-based applications. Spectral's services cater to the needs of developers seeking to streamline the process of smart contract development, testing, and deployment. It was founded in 2020 and is based in New Rochelle, New York.",spectrallabs.xyz,Alive / Active,2020,"Zero-Code, Cookbook, Tatum, Syndicate, Cred Protocol, SmartContract, BlockDog",819.0,29.75,"Foundation Capital, Truist Ventures, Maven 11 Capital, Galaxy, Metapurse, ParaFi Capital, Polychain Capital, Social Capital, The Graph, Circle Ventures, Franklin Templeton, General Catalyst, Gradient Ventures, Jump Capital, Samsung NEXT, Section 32, Soma Capital",United States,New York,New Rochelle,Internet,Internet Software & Services,Application & Data Integration
Spruce,"Spruce focuses on digital identity management. It offers solutions for managing the lifecycle of digital credentials, such as mobile driver's licenses, software audit statements, and professional certifications, and provides developer tools for integrating decentralized identity capabilities into applications. The company was founded in 2020 and is based in New York, New York.",spruceid.com,Alive / Active,2020,"Trinsic, Privado ID",529.0,42.00,"Y Combinator, A.Capital, Alameda Research, BITKRAFT, Coinbase Ventures, Electric Capital, Ethereal Ventures, Gemini, Protocol Labs, Andreessen Horowitz, Brighter Capital, Okta Ventures, OrangeDAO, Robot Ventures, SCB 10X",United States,New York,New York,Internet,Internet Software & Services,Monitoring & Security
IndyKite,"IndyKite is a company focused on providing digital identity solutions and data management services within the technology sector. Its main offerings include an identity knowledge graph for trust foundation in product and application creation, identity insights for dynamic context in decision-making, and knowledge-based access control for secure and compliant data sharing. IndyKite's solutions primarily cater to the retail, finance, and manufacturing industries. It was founded in 2021 and is based in San Francisco, California.",indykite.com,Alive / Active,2021,,597.0,10.50,"TRK Group, Alliance Venture, Speedinvest, Molten Ventures",United States,California,San Francisco,Internet,Internet Software & Services,Monitoring & Security
Manta Network,"Manta Network provides an on-chain privacy solution for blockchain technology. It provides Web 3.0 with privacy guarantees. It offers cryptographic constructions such as zero-knowledge succinct non-interactive argument of knowledge (zkSNARKs) to deliver end-to-end privacy guarantees for blockchain applications. The company was founded in 2020 and is based in Boston, Massachusetts.",manta.network,Alive / Active,2020,"Beldex, Ligero, IntegriTEE, Secret Network",814.0,30.75,"CoinSummer, Alliance, ArkStream Capital, 0xMaki, CMS Holding, CoinFund, Divergence Ventures, Global Coin Ventures, Kevin Hu, LongHash Ventures, ParaFi Capital, SNZ Capital, Santiago Santos, SkyVision Capital, Spartan Group, Web3 Foundation, Zee Prime Capital, Binance Labs, Polychain Capital, Qiming Venture Partners, SevenX Ventures",United States,Massachusetts,Boston,Internet,Internet Software & Services,Monitoring & Security
