Companies,URL,Description,Industry,Latest Funding Round,Latest Funding Date,Total Funding,All Investors,Latest Valuation,Latest Funding Amount,Exit Round,Exit Date,Acquirers,Mosaic (Overall),Date Added,Country,Applications,Text,Speech & audio,Code,Visual media
Fliki,fliki.ai,"Fliki is a company that focuses on the technology and media industry, providing AI-powered solutions for content creation. The company offers a platform that simplifies and accelerates the process of video creation, transforming text into video content with AI voices. It also provides a text-to-speech feature that converts written text into natural-sounding speech, making it a comprehensive tool for content creators, marketers, and educators. It was founded in 2021 and is based in Middletown, Delaware.",Horizontal applications,,,,,,,,,,680,2023/10/04,United States,Visual ads & marketing,,,,x
Pictory,pictory.ai,"Pictory is a company specializing in AI-powered video creation for various professional sectors including content marketing and education. The company offers a platform that transforms text, scripts, and blog posts into professional-quality videos with AI voices, footage, and music, without the need for video editing experience. Pictory's services are primarily utilized by content creators, educators, digital marketers, and enterprise teams seeking efficient video content production. It was founded in 2019 and is based in Bothell, Washington.",Horizontal applications,Seed VC - II,2023/03/24,4.72,"Bharat Shyam, Bill Bryant, FUSE, Omri Bahat, Voyager Capital",50,2.62,,,,700,2023/10/04,United States,Visual ads & marketing,,,,x
Opus Clip,opus.pro,"Opus Clip develops an artificial intelligence (AI) video platform. The company turns long videos into viral clips for users to share on social media to increase social media reach. It was founded in 2022 and is based in San Francisco, California.",Horizontal applications,Seed VC,2023/11/07,0.25,"AI Grant, HongShan",,,,,,590,2023/10/04,United States,Video editing,,,,x
Pinecone,pinecone.io,"Pinecone develops vector search applications with its managed, cloud-native vector database and application program interface (API). It provides a vector database, that acts as the memory for artificial intelligence (AI) models and infrastructure components for AI-powered applications. The company was founded in 2019 and is based in San Mateo, California.",Generative AI infrastructure,Series B,2023/04/27,138,"Wing Venture Capital, Menlo Ventures, Tiger Global Management, Andreessen Horowitz, ICONIQ Growth",750,100,,,,870,2023/10/04,United States,Vector databases,,,,
Zilliz,zilliz.com,"Zilliz is a company focused on vector database management systems for enterprise-grade AI applications. It offers products like Zilliz Cloud, a fully-managed vector database service, and Milvus, an open-source vector database for large-scale vector similarity search. The company primarily serves sectors that require AI-powered search capabilities, such as tech companies involved in unstructured data management. It was founded in 2017 and is based in Redwood City, California.",Generative AI infrastructure,Series B - II,2022/08/24,115,"CRCM Ventures, Eminence Ventures, Yunqi Partners, NVIDIA Inception Program, 5Y Capital, Microsoft for Startups Founders Hub, Hillhouse Capital Management, Pavilion Capital, Trustbridge Partners, Prosperity7 Ventures",,60,,,,780,2023/10/04,United States,Vector databases,,,,
Chroma,trychroma.com,"Chroma operates as an open-source artificial intelligence (AI)-native embedding database. It organizes financially sustainable teams of people to work to manage, push, and integrate a project. It allows developers to add state and memory to its AI-enabled applications. It was founded in 2022 and is based in San Francisco, California.",Generative AI infrastructure,Unattributed VC,2024/02/13,20.55,"Amjad Masad, Anthony Goldbloom, Daniel Gross, James Cham, Nat Friedman, Akshay Kothari, Astasia Myers, Guillermo Rauch, Jack Altman, Jordan Tigani, Max Altman, Naval Ravikant, Spencer Kimball, AI Grant, AIX Ventures",75,,,,,710,2023/10/04,United States,Vector databases,,,,
NNext,nnext.ai,"NNext offers a vector search database tailored for machine learning (ML) applications that store the useful intermediate outputs of ML applications not captured by current database solutions. It powers recommender systems, semantic search systems for documents, image and reverse image search, video search and understanding, and more. The company was founded in 2022 and is based in New York, New York.",Generative AI infrastructure,Seed,2022/08/15,0.12,Comcast NBCUniversal LIFT Labs Accelerator powered by Techstars,,0.12,,,,300,2023/10/04,United States,Vector databases,,,,
Linq Labs,getlinq.com,"Linq Labs is a self-learning customer service agent. It is a hallucination-free conversational AI solution powered by advanced retrieval-augmented generation. It specializes in generative AI, retrieval augmented generation, large language models, and privacy preservation. Linq Labs formerly known as Wevover Platform. The company was founded in 2022 and is based in Cambridge, Massachusetts.",Generative AI infrastructure,Series A,2023/11/08,6.24,"TIPS Program, Techstars Boston Accelerator",,6.02,,,,610,2024/01/02,United States,Vector databases,,,,
Machinet,machinet.net,"Machinet focuses on artificial intelligence (AI) and software development. The company offers an AI plugin that assists developers in writing code and unit tests, generating code based on the context of the project and the user's description, and creating unit tests using popular frameworks. The company primarily serves the software development industry. It was founded in 2021 and is based in Lewes, Delaware.",Horizontal applications,Seed VC,2023/01/01,0.02,"Davidovs Venture Collective, Flyer One Ventures",,,,,,420,2023/10/04,United States,Unit testing,,,x,
SapientAI,sapient.ai,"SapientAI specializes in artificial intelligence-driven unit test generation for software development. The company provides a platform that automates the creation of unit tests, enhancing code quality and developer productivity without the need for manual testing. SapientAI primarily serves the software development industry, offering solutions that integrate with popular programming languages and development environments. It was founded in 2023 and is based in Mountain View, California.",Horizontal applications,Seed VC,2023/05/16,5,"8VC, Correlation Ventures, GTMFund",14.43,5,,,,500,2023/10/04,United States,Unit testing,,,x,
Pika Art,pika.art,"Pika Art is an idea-to-video platform operating in the creative and digital media industry. The company's main service involves transforming creative ideas into motion videos. Pika Labs was formerly known as Mellis Labs. It was founded in 2023 and is based in Silicon Valley, California.",Horizontal applications,Series A,2023/11/28,55.25,"Daniel Gross, Nat Friedman, AI Grant, Adam D’Angelo, Alex Chung, Andrej Karpathy, Ben’s Bites, Clem Delangue, Conviction Capital, Craig Kallman, Elad Gil, Homebrew, Lightspeed Venture Partners, SV Angel",294.65,35,,,,720,2024/02/16,United States,Text-to-video. Consumer social apps & tools.,,,,x
Formulabot,formulabot.com,"Formulabot helps transform text instructions into Excel formulas with the help of AI. The company's tools services include transfer problem to formula, transfer formula to explanation, and so on. It was formerly known as Excel Formulabot. The company was founded in 2022 and is based in Orlando, Florida.",Horizontal applications,,,,,,,,,,,2023/10/04,United States,Text-to-code,,,x,
Seek AI,seek.ai,"Seek AI specializes in generative artificial technology technology for business analytics within the data analysis domain. The company offers a natural language interface that allows users to query structured data and receive answers. It primarily serves businesses looking to help their data analysis processes and improve access to data insights. The company was founded in 2019 and is based in New York, New York.",Horizontal applications,Incubator/Accelerator - II,2024/04/04,3,"Plug and Play Accelerator, Battery Ventures, Bob Muglia, Conviction Partners, Mustafa Suleyman, NJP Ventures, Tristan Handy, Greylock Partners, Plug and Play Silicon Valley summit",,,,,,570,2023/10/04,United States,Text-to-code,,,x,
AI2sql,ai2sql.io,"AI2sql is a technology company focused on the data management and software industry. The company offers a tool that translates natural language queries into SQL code, enabling users to manage and manipulate data stored in relational databases without needing advanced technical knowledge of SQL. AI2sql primarily serves professionals such as developers, database administrators, and data analysts. It is based in Jacksonville, Florida.",Horizontal applications,,,,,,,,,,,2023/10/04,United States,Text-to-code,,,x,
SimplyPut,simplyput.ai,"SimplyPut is a technology company that focuses on data analysis and interpretation. The company offers a platform that allows users to interact with their data using plain language, eliminating the need for coding. This is achieved through the use of advanced language models like ChatGPT and GPT-4. The company's services are primarily used in sectors that require data interpretation and analysis. It was founded in 2021 and is based in San Francisco, California.",Horizontal applications,Unattributed,2022/05/25,1.94,,,1.94,,,,400,2023/10/04,United States,Text-to-code,,,x,
Ellipsis,ellipsis.dev,"Ellipsis specializes in enhancing software development processes through automation. It offers a virtual software engineer assisting with code implementation, bug fixes, code reviews, and more. The company's services are designed to integrate with existing development workflows, primarily serving the software development industry. It was founded in 2023 and is based in New York, New York.",Horizontal applications,Convertible Note,2024/01/19,0.5,Y Combinator,,0.5,,,,420,2024/02/08,United States,Text-to-code,,,x,
Magic Loops,magicloops.dev,"Magic Loops combines large language models (LLMs) and code to create simple automation. It allows users to create automation without having to know how to code. It was founded in 2023 and is based in San Francisco, California.",Horizontal applications,Seed VC,2023/07/01,0.5,"Y Combinator, Pioneer Fund",,,,,,470,2024/02/21,United States,Text-to-code,,,x,
Primer,primer.ai,"Primer builds and deploys mission-ready artificial intelligence (AI) solutions meeting defense and security needs. It serves analysts, operators, and decision-makers to take out insights from proprietary datasets. It caters to U.S. government, strategic allies, and Fortune 100 companies which use it to extract timely insight and decision advantage from massive datasets. The company was founded in 2015 and is based in San Francisco, California.",Horizontal applications,Incubator/Accelerator - III,2023/10/26,233.7,"AME Cloud Ventures, Amplify Partners, Avalon Ventures, Bloomberg Beta, Crosslink Capital, DCVC, In-Q-Tel, Lux Capital, Mubadala Ventures, Section 32, Plug and Play Accelerator, Plug and Play Fintech Accelerator, Addition, US Innovative Technology Fund, NVIDIA Inception Program",295.64,,,,,780,2023/10/04,United States,Text summarization,x,,,
plnia,plnia.com,"Plnia is a company that specializes in Natural Language Processing (NLP) and Artificial Intelligence (AI), operating within the technology and AI industry. The company offers a range of AI-powered services, including text and image analysis tools, and a real-time news API, all designed to analyze, interpret, and extract deep insights from diverse datasets. Plnia primarily serves sectors that require advanced data analysis and interpretation, such as the technology and business sectors. It was founded in 2018 and is based in California, United States.",Horizontal applications,,,,,,,,,,,2023/10/04,United States,Text summarization,x,,,
Elicit,elicit.com,"Elicit focuses on automating research tasks using artificial intelligence, operating within the domain of academic research and machine learning. The company offers services that enable users to summarize academic papers, extract data, and synthesize findings to facilitate efficient research. Elicit primarily serves researchers and academic professionals seeking to expedite literature reviews, systematic reviews, and meta-analyses. It was founded in 2023 and is based in Covina, California.",Horizontal applications,Seed VC,2023/09/25,9,"Ought, Basis Set, Fifty Years Fund, Illusionist Group, Jeff Dean, Thomas Ebeling",36.32,9,Spinoff / Spinout,2023/01/01,Ought,570,2024/02/20,United States,Text summarization,x,,,
Synthesis AI,synthesis.ai,"Synthesis AI specializes in synthetic data and generative artificial intelligence (AI) technology for the computer vision and machine learning sectors. The company provides simulation and synthetic data solutions to create privacy-compliant, unbiased datasets for various applications, including biometrics, security, and autonomous systems. Synthesis AI's offerings are utilized across industries such as automotive, consumer electronics, and security to enhance AI model training and development. It was founded in 2019 and is based in San Francisco, California.",Horizontal applications,Series A,2022/04/19,26.13,"Plug and Play Accelerator, Bee Partners, Boom Capital Ventures, Kubera Venture Capital, Leta Capital, PJC, Swift Ventures, iRobot Ventures, 468 Capital, Alumni Ventures, Sorenson Ventures, Strawberry Creek Ventures",63.41,17,,,,570,2023/10/04,United States,Synthetic training data,,,,x
Parallel Domain,paralleldomain.com,"Parallel Domain is a synthetic data platform specializing in the generation of data for AI development in the autonomous systems industry. The company offers an API that allows users to generate and access sensor data, including camera, LiDAR, and radar, to train and test perception models for various applications. Parallel Domain primarily serves companies developing autonomous vehicles and other autonomous systems that require machine learning and perception capabilities. It was founded in 2017 and is based in San Francisco, California.",Horizontal applications,Series B,2022/11/16,43.65,"Bessemer Venture Partners, Costanoa Ventures, RRE Ventures, Ubiquity Ventures, Toyota Ventures, Calibrate Ventures, Foundry, March Capital",86.57,30,,,,650,2023/10/04,United States,Synthetic training data,,,,x
Zumo Labs,zumolabs.ai,"Zumo Labs is a company focused on the technology sector, specifically in the domain of computer vision and artificial intelligence. The company provides synthetic data for computer vision problems, offering pre-labeled, pixel-perfect datasets that can be customized and generated on demand. Zumo Labs primarily serves sectors such as transportation, workplace, manufacturing, logistics, residential, fitness, infrastructure, and retail. It was founded in 2019 and is based in San Francisco, California.",Horizontal applications,Seed,2020/03/17,0.15,Y Combinator,,0.15,,,,270,2023/10/04,United States,Synthetic training data,,,,x
Chooch,chooch.com,"Chooch’s generative AI technology combines computer vision and language understanding to deliver AI Vision that makes cameras intelligent. Chooch's AI Vision platform instantly detects visuals and actions in video streams, immediately comprehending their significance, and puts into motion real-time pre-programed responses to them. It performs in a fraction of the time it would take a human being to notice there was an issue. The company was founded in 2015 and is based in San Mateo, California.",Horizontal applications,Incubator/Accelerator - II,2022/05/09,22.9,"Vickers Venture Partners, 212.vc, 212 Ventures, Alumni Ventures, PlatformXIT, Sand Hill Angels, Serkan Omerbeyoglu, Streamlined Ventures, Waterman Ventures, NVIDIA Inception Program, NGA Accelerator",191.27,0.1,,,,540,2023/10/04,United States,Synthetic training data,,,,x
Speedy,speedybrand.io,"Speedy operates as a marketing service provider. It provides digital marketing for server message block protocols (SMBs) using generative artificial intelligence (AI). It was founded in 2022 and is based in San Francisco, California.",Horizontal applications,Seed VC,2023/07/07,3,"Y Combinator, Google Ventures",15,2.5,,,,550,2023/10/04,United States,Social media & marketing copy,x,,,
Pepper Content,peppercontent.io,"Pepper Content operates a content marketing platform. The platform helps businesses build a content team, create and manage content, and connect with the creators on its platform. It also offers a virtual content generation assistant. It was founded in 2017 and is based in Wilmington, Delaware.",Horizontal applications,Incubator/Accelerator,2023/12/09,18.81,"Aroa Venture Partners, Alok Mittal, Amit Ranjan, Hemanshu Jain, Manan Maheshwari, Ritesh Malik, Sanjay Tripathy, Saurabh Srivastava, Sidharth Rao, Titan Capital, YourStory, Aakrit Vaish, Akhil Paul, Balaji Srinivasan, Beerud Sheth, Dilip Khandelwal, Guarav Munjal, Lightspeed India Partners, Miten Sampat, Utsav Somani, Bessemer Venture Partners, Tanglin Venture Partners, Google for Startups Accelerator: India",,,,,,630,2023/10/04,United States,Social media & marketing content,x,,,
Writesonic,writesonic.com,"Writesonic offers an artificial intelligence-powered copywriting tool to generate marketing content for businesses. It helps professionals to scale content production and output. The company develops ChatSonic a tool to create engaging content. It was founded in 2021 and is based in San Francisco, California.",Horizontal applications,Seed VC,2021/09/01,3.1,"Amino Capital, Broom Ventures, HOF Capital, Rebel Fund, Plug and Play Accelerator, Y Combinator, Soma Capital",,2.6,,,,620,2023/10/04,United States,Social media & marketing content,x,,,
Linguix,linguix.com,"Linguix is an artificial intelligence-powered writing and productivity copilot designed for teams, operating in the business communication and productivity software industry. The company offers a suite of tools including grammar checking, artificial intelligence-driven writing assistance, content optimization, and productivity enhancements for various business documents and communications. Linguix's solutions are tailored to improve the efficiency and quality of written content for sales, marketing, and customer support teams. It was founded in 2018 and is based in North Miami Beach, Florida.",Horizontal applications,Seed - II,2023/04/28,2.75,"Antler, Dmitry Grishin, Flyer One Ventures, Grishin Robotics",3.86,1.4,,,,490,2023/10/04,United States,Social media & marketing content,x,,,
Copy.AI,copy.ai,"Copy.AI develops an artificial intelligence copywriter. The company offers a platform that generates marketing copy, automates workflows, and provides tools for content creation in various formats such as long-form articles, social media posts, product descriptions, and more. It primarily serves sectors such as electronic commerce, social media, and sales. The company was founded in 2020 and is based in Memphis, Tennessee.",Horizontal applications,Convertible Note,2023/11/03,19.82,"Hustle Fund, Atelier Ventures, Craft Ventures, Sequoia Capital, Unpopular Ventures, Wing Venture Capital, K5 Global Technology",41.83,3,,,,740,2023/10/04,United States,Social media & marketing content,x,,,
Jasper,jasper.ai,"Jasper operates as an artificial intelligence (AI) content creation platform. The company's main services include the creation of on-brand AI-assisted content, language translation, and the generation of marketing campaigns. It is primarily used in the marketing and advertising industry Jasper was formerly known as Proof Technologies. It was founded in 2020 and is based in Austin, Texas.",Horizontal applications,Series A,2022/10/17,125,"Plug and Play Accelerator, STV, Foundation Capital, Bossa Invest, Quarry Ventures, Liquid 2 Ventures, Bessemer Venture Partners, Coatue, Founders Circle Capital, HubSpot Ventures, Insight Partners, Institutional Venture Partners",1500,125,,,,860,2023/10/04,United States,Social media & marketing content,x,,,
Anyword,anyword.com,"Anyword is a company that focuses on artificial intelligence and operates in the marketing sector. The company offers an AI Performance Writing platform that enables marketers to create scalable, on-brand content that is designed to convert and drive sales. It primarily serves the marketing industry. Anyword was formerly known as Keywee. It was founded in 2013 and is based in New York, New York.",Horizontal applications,Series B,2021/11/18,30.1,"UpWest, Innovation Endeavors, Marker, The New York Times Company, Amir Orad, Gandyr Group, Howard Lerman, LEAD Capital, Michael Ronen, Nir Eyal, Omri Kaplan, Tomer Cohen, Yossi Matias",58.48,21,,,,610,2023/10/04,United States,Social media & marketing content,x,,,
Bertha,bertha.ai,"Bertha is a company that focuses on artificial intelligence in the technology sector. The company offers a content generation tool that uses AI to help users create engaging content for their websites, including articles, blog posts, web pages, and sales copy. The tool is designed to work with WordPress and Chrome, making it accessible and easy to use. It was founded in 2021 and is based in Denver, North Carolina.",Horizontal applications,,,,,,,,,,,2023/10/04,United States,Social media & marketing content,x,,,
Copyrytr,copyrytr.com,"Copyrytr provides content and Search Engine Optimization (SEO) and marketing solutions. Its products include Rytr, Copysmith, and Frase. The company was founded in 2022 and is based in Birmingham Alabama.",Horizontal applications,,,,,,,,,,,2023/10/04,United States,Social media & marketing content,x,,,
